,title,author,repository,category,created_at,approval_time_days,curators,comments_count,review_comments_count,commits_count,additions_count,deletions_count,changed_files_count,performance_score,is_stale,state,GitHub Link
60,Fix to focus on W3F,,w3f_grants,,2025-06-12,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2570
61,frost-substrate application,,w3f_grants,,2025-06-11,N/A,None,0,0,0,0,0,0,0.0,No,open,https://github.com/w3f_grants/issues/2569
62,Create BazaarPay.md,,w3f_grants,,2025-06-10,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2568
67,Grant Application: Frostgate - A Modular ZK-Agnostic Framework For Cross-Chain Interop,,w3f_grants,,2025-06-05,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2565
70,LimeChain Application pvm_evm_compat_check.md,,w3f_grants,,2025-06-04,N/A,None,0,0,0,0,0,0,0.0,No,open,https://github.com/w3f_grants/issues/2564
71,WatchDog ,,w3f_grants,,2025-06-04,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2563
72,zk-ink! Grant Application,,w3f_grants,,2025-06-02,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2561
74,Samaritan,,w3f_grants,,2025-05-31,N/A,None,0,0,0,0,0,0,0.0,No,open,https://github.com/w3f_grants/issues/2559
76,Verydorm,,w3f_grants,,2025-05-28,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2558
77,Update index.md,,w3f_grants,,2025-05-27,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2557
81,Verydorm web 3 grant Application,,w3f_grants,,2025-05-24,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2556
84,cancel eliza-plugin-dot,,w3f_grants,,2025-05-23,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2555
92,Grant Application: The Implied Impermanent Loss and Implied LVR,,w3f_grants,,2025-05-14,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2554
97,Cancel web3-association-open-source-contributor-funding-experiment-se…,,w3f_grants,,2025-05-12,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2553
98,Grant Application: PolkaArbitrage,,w3f_grants,,2025-05-10,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2552
99,Update index.md,,w3f_grants,,2025-05-09,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2551
103,Decentralized Threshold Signing Service,,w3f_grants,,2025-05-06,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2550
120,Add application from Elastic Labs for Polkadot Agent Kit,,w3f_grants,,2025-04-29,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2549
128,Create Polkdot-MultiSigniture-Wallet.md,,w3f_grants,,2025-04-24,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2548
129,Create Polkdot-MultiSigniture-Wallet.md,,w3f_grants,,2025-04-24,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2547
130,Create project_name.md,,w3f_grants,,2025-04-24,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2546
132,Unified Liquidity Balance API,,w3f_grants,,2025-04-24,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2545
134,TxShield,,w3f_grants,,2025-04-24,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2544
170,Create chessonchain.md,,w3f_grants,,2025-04-18,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2543
175,Embedded Polkadot Auto-teleport App,,w3f_grants,,2025-04-15,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2542
179,TxShield.md,,w3f_grants,,2025-04-11,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2541
180,RFP for Offline election tool,,w3f_grants,,2025-04-11,N/A,None,0,0,0,0,0,0,0.0,No,open,https://github.com/w3f_grants/issues/2540
182,Grant Application:  Dot-Agent-Kit,,w3f_grants,,2025-04-11,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2539
184,RFP Proposal: TxShield - Transaction Safety Simulator,,w3f_grants,,2025-04-09,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2538
192,Update index.md,,w3f_grants,,2025-04-02,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2537
194,ISO20022 Strategic Positioning,,w3f_grants,,2025-04-02,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2536
195,MCP server for Substrate-based chains,,w3f_grants,,2025-04-01,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2535
196,Proposal Bend-PVM,,w3f_grants,,2025-04-01,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2534
197,Create N3MUS.md,,w3f_grants,,2025-04-01,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2533
198,Update index.md,,w3f_grants,,2025-03-28,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2532
199,update Team members,,w3f_grants,,2025-03-28,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2531
203,Application for Ledger Universal Polkadot App upgrade ,,w3f_grants,,2025-03-26,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2530
204,AccessTool: Web3 Accessibility for the Polkadot Ecosystem,,w3f_grants,,2025-03-26,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2529
205,Add Dedot Follow-up,,w3f_grants,,2025-03-25,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2528
206,Prowser.md,,w3f_grants,,2025-03-22,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2527
209,FaucetTOTP.md,,w3f_grants,,2025-03-21,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2526
210,FaucetTOTP Application,,w3f_grants,,2025-03-21,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2525
213,Ace Capital - MVP Phase 1 Grant Application,,w3f_grants,,2025-03-16,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2524
214,Estoken Grant Proposal,,w3f_grants,,2025-03-14,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2523
215,Lollipop.md,,w3f_grants,,2025-03-14,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2522
217,Nullifier Prime: Compliant & programmable privacy,,w3f_grants,,2025-03-12,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2521
218,Update relaycode referrer,,w3f_grants,,2025-03-12,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2520
219,Application: OmniRamp,,w3f_grants,,2025-03-11,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2519
221,Grant Application: Polkadot ElizaOS Plugin,,w3f_grants,,2025-03-10,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2518
222,Grant Application: Polkadot ElizaOS Plugin,,w3f_grants,,2025-03-10,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2517
224,S.A.G.E. (Substrate Asset Game Engine) - Follow Up,,w3f_grants,,2025-03-07,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2516
225,Grant Application: Polkadot Developer Toolkit,,w3f_grants,,2025-03-07,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2515
226,Create builder-love.md,,w3f_grants,,2025-03-05,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2513
228,NFT_Checker application,,w3f_grants,,2025-02-25,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2512
232,Cancel sub_consensus_mechanism.md,,w3f_grants,,2025-02-20,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2511
233,Atlas Research Application,,w3f_grants,,2025-02-19,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2508
234,KZero Wallet,,w3f_grants,,2025-02-14,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2507
235,Update index.md,,w3f_grants,,2025-02-12,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2506
238,Update index.md,,w3f_grants,,2025-02-11,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2505
241,Decentralized Data Annotation Platform (DAP),,w3f_grants,,2025-02-06,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2504
242,Update payment details for SwarmNL,,w3f_grants,,2025-02-05,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2503
243,Update swush-dex-aggregator.md,,w3f_grants,,2025-02-05,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2502
244,Update index.md,,w3f_grants,,2025-02-05,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2501
246,BlackBet Application,,w3f_grants,,2025-02-04,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2500
247,Prediqs Application,,w3f_grants,,2025-02-02,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2499
249,permalink update,,w3f_grants,,2025-01-31,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2498
250,Application: Cyferio Hub,,w3f_grants,,2025-01-30,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2497
251,Update index.md,,w3f_grants,,2025-01-29,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2496
252,QMDB Core Integration for the proof storage engine within Substrate,,w3f_grants,,2025-01-29,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2495
253,Create QF_QMDB-substrate-part1.md,,w3f_grants,,2025-01-29,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2494
254,Polkadot DID Resolver Driver,,w3f_grants,,2025-01-27,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2493
255,Applications: adding dotnix-follow-up,,w3f_grants,,2025-01-27,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2492
258,Update index.md,,w3f_grants,,2025-01-23,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2491
259,Cancel MeProtocol.md,,w3f_grants,,2025-01-23,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2490
264,Update index.md,,w3f_grants,,2025-01-22,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2489
267,PolkaGate MetaMask Snap: Enhancing User Experience with Integrated Token Management and Staking Features,,w3f_grants,,2025-01-20,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2488
268,update eliza-plugin-dot payment address,,w3f_grants,,2025-01-18,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2487
269,chore: update vitalik blog link,,w3f_grants,,2025-01-18,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2486
270,agriDot finished,,w3f_grants,,2025-01-17,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2485
272,Staking Rewards - Research Methodology Development - Milestone 1,,w3f_grants,,2025-01-14,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2484
274,Update AgriDot.md,,w3f_grants,,2025-01-08,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2483
275,add eliza-plugin-dot,,w3f_grants,,2025-01-08,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2482
276,DOT Cashback from Top Retailers,,w3f_grants,,2024-12-29,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2481
277,Grant Application for Internets,,w3f_grants,,2024-12-28,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2480
278,update dairdrop payment address,,w3f_grants,,2024-12-27,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2479
279,Grant application for Boris Boarman,,w3f_grants,,2024-12-25,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2478
280,Grant Application for Hydrapad,,w3f_grants,,2024-12-22,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2477
281,Add Hydrapad application,,w3f_grants,,2024-12-22,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2476
282,Add Hydrapad application,,w3f_grants,,2024-12-22,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2475
283,Amend PRR,,w3f_grants,,2024-12-22,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2474
284,Hydrapad Grants Application,,w3f_grants,,2024-12-21,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2473
285,Update index.md,,w3f_grants,,2024-12-20,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2472
286,Cancel research_wallets.md,,w3f_grants,,2024-12-20,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2471
287,Update swush-dex-aggregator.md,,w3f_grants,,2024-12-19,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2470
288,Oneramp grant proposal,,w3f_grants,,2024-12-18,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2469
289,Web3 Security DAO project request grant,,w3f_grants,,2024-12-17,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2468
290,Submit Transactions Agent Pallet proposal,,w3f_grants,,2024-12-16,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2467
291,Peeramid labs: Research grant for DAO novel token mechanics ,,w3f_grants,,2024-12-14,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2466
292,Update index.md,,w3f_grants,,2024-12-11,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2465
293,Amendment: Infimum M2 dependencies,,w3f_grants,,2024-12-09,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2464
294,Update index.md,,w3f_grants,,2024-12-09,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2463
295,Application: Cyferio Hub,,w3f_grants,,2024-12-07,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2462
296,Cyferio Hub Application,,w3f_grants,,2024-12-07,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2461
297,Update Readme V1,,w3f_grants,,2024-12-06,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2460
298,Fix 404 status URL,,w3f_grants,,2024-11-28,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2459
299,add queryweb3,,w3f_grants,,2024-11-25,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2458
300,update rfp overview,,w3f_grants,,2024-11-25,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2457
301,Create vscode_substrate_extension.md,,w3f_grants,,2024-11-22,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2456
302,Add tips for good applications,,w3f_grants,,2024-11-21,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2455
303,Update index.md,,w3f_grants,,2024-11-19,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2454
304,Hyperfridge last milestone amendment,,w3f_grants,,2024-11-18,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2453
305,Hyperfridge milestone 5 amendment,,w3f_grants,,2024-11-18,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2452
306,Multichain Identity Indexer,,w3f_grants,,2024-11-16,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2451
307,terminate java substrate client,,w3f_grants,,2024-11-16,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2450
308,Update index.md,,w3f_grants,,2024-11-14,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2449
309,Cancel quantum-guard.md,,w3f_grants,,2024-11-12,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2448
310,1,,w3f_grants,,2024-11-11,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2447
311,blockpublisher,,w3f_grants,,2024-11-09,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2446
312,a response from the [anti-collusion infrastructure RFP](https://grants.web3.foundation/docs/RFPs/anti-collusion_infrastructure).,,w3f_grants,,2024-11-08,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2445
313,Update payment info xcNFT,,w3f_grants,,2024-11-07,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2444
314,Cancel substrate_client_java.md,,w3f_grants,,2024-11-07,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2443
315,Change payment address for Polkadart,,w3f_grants,,2024-11-07,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2442
316,Update index.md,,w3f_grants,,2024-11-06,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2441
317,Swush : DEX Aggregator on Polkadot Asset Hub,,w3f_grants,,2024-11-05,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2440
318,Dotnix follow-up,,w3f_grants,,2024-11-01,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2439
319,Create CryptoCheckout.md,,w3f_grants,,2024-10-30,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2438
320,Application for MigrationEase.md,,w3f_grants,,2024-10-30,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2437
321,Followup grant for Subcoin,,w3f_grants,,2024-10-27,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2436
322,Close user-account-access-analysis.md,,w3f_grants,,2024-10-24,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2435
323,Create PyreBrowser.md,,w3f_grants,,2024-10-24,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2434
324,PolkaVM target in Zink Language,,w3f_grants,,2024-10-23,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2433
325,Create Alma.md,,w3f_grants,,2024-10-22,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2432
326,PolkSecurity,,w3f_grants,,2024-10-20,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2431
327,Create Polkanalysis.md,,w3f_grants,,2024-10-20,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2430
328,create dairdrop application,,w3f_grants,,2024-10-18,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2429
329,DotGate application,,w3f_grants,,2024-10-17,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2428
330,Create proposal for bison,,w3f_grants,,2024-10-16,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2427
331,Create Dot's Journey,,w3f_grants,,2024-10-15,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2426
332,Closing RFP: Formal Guarantees for Grandpa,,w3f_grants,,2024-10-15,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2425
333,Update index.md,,w3f_grants,,2024-10-14,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2424
334,Bono Network Grant application,,w3f_grants,,2024-10-14,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2423
335,Proposal for GRANDPA spec,,w3f_grants,,2024-10-12,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2422
336,Create substrate-graphql-api.md,,w3f_grants,,2024-10-11,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2421
337,Add typink proposal,,w3f_grants,,2024-10-10,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2420
338,Update entity details - relaycode,,w3f_grants,,2024-10-09,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2419
339,Create PolarisWallet.md,,w3f_grants,,2024-10-09,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2418
340,fix rfp status in file,,w3f_grants,,2024-10-08,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2417
341,fix rfp status in file,,w3f_grants,,2024-10-08,N/A,None,0,0,0,0,0,0,0.0,No,closed,https://github.com/w3f_grants/issues/2416
